target,cv_score,classifier,scoring
JoyfulActivation,0.46875,svc_nilearn_wrapper,roc_auc
Nostalgia,0.5546875,svc_nilearn_wrapper,roc_auc
Peacefulness,0.578125,svc_nilearn_wrapper,roc_auc
Power,0.6953125,svc_nilearn_wrapper,roc_auc
Sadness,0.671875,svc_nilearn_wrapper,roc_auc
Tenderness,0.5859375,svc_nilearn_wrapper,roc_auc
Tension,0.71875,svc_nilearn_wrapper,roc_auc
Transcendence,0.5859375,svc_nilearn_wrapper,roc_auc
Wonder,0.6328125,svc_nilearn_wrapper,roc_auc
